Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target,course_id
1,1,1,8,1,1,1,3,14,4,6,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,Graduate,153
1,1,1,16,1,1,1,13,14,8,8,0,0,1,0,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,Enrolled,373
1,1,3,2,1,1,1,1,1,10,9,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Graduate,7
1,9,4,13,1,1,1,1,28,5,8,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,Enrolled,294
1,1,4,12,1,1,1,13,14,2,2,0,0,1,0,0,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,Graduate,262
1,1,4,14,1,1,1,1,28,5,8,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,Graduate,318
1,1,1,12,1,1,1,13,14,4,8,0,0,1,0,0,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,Graduate,260
1,1,1,10,1,1,1,13,28,10,10,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,Enrolled,202
1,8,2,10,1,1,1,13,28,8,9,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,Graduate,204
1,1,1,6,1,1,1,13,14,4,4,0,0,1,0,0,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13,0,Enrolled,93
1,1,1,9,1,1,1,13,1,10,10,0,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12.33333333,0,Graduate,168
1,8,2,12,1,1,1,3,3,2,11,0,0,1,1,0,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,Enrolled,261
1,15,1,4,1,14,1,4,5,5,3,0,0,1,1,0,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,Enrolled,53
1,16,1,5,1,1,1,27,3,16,22,0,0,1,1,0,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,Graduate,67
1,1,1,9,1,1,1,1,1,5,7,0,0,0,1,0,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,Enrolled,168
1,9,1,3,0,1,1,13,1,10,6,0,0,1,0,0,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,Graduate,33
1,1,1,17,0,1,1,2,27,4,10,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,Graduate,403
1,12,1,1,1,1,1,23,27,10,7,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,Dropout,1
1,12,1,7,1,8,1,19,27,1,1,0,0,1,1,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,Dropout,126
1,14,1,9,1,1,1,22,27,7,7,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,Dropout,169
4,12,1,17,0,1,1,13,14,10,4,0,0,1,0,0,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,Graduate,402
1,15,1,8,1,14,3,4,4,4,7,0,1,0,0,0,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12,0,Dropout,154
1,1,5,15,1,1,1,3,3,3,3,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,Dropout,346
1,1,2,9,1,1,1,3,14,3,8,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,Graduate,170
1,1,6,12,1,1,1,1,3,3,3,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,Graduate,263
1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,Dropout,347
1,12,1,17,0,1,1,22,27,10,10,0,0,1,0,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,Dropout,402
1,8,1,17,0,1,1,23,28,5,6,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,Enrolled,404
1,8,2,10,1,1,1,13,14,10,10,0,0,1,0,0,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,Graduate,204
1,8,6,12,1,1,1,22,14,8,8,0,0,1,0,1,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,Graduate,264
1,15,1,3,0,14,1,1,14,10,10,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,Graduate,34
1,1,1,10,1,1,1,22,28,10,10,0,0,1,0,1,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,Graduate,202
1,12,1,11,1,1,1,13,28,10,8,0,0,1,0,1,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,Graduate,234
1,1,1,12,1,1,1,22,28,7,7,0,0,1,0,1,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,Enrolled,260
1,1,1,15,1,1,1,1,14,8,8,0,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,Enrolled,345
1,1,3,8,1,1,1,22,27,12,12,0,0,1,0,0,19,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,Graduate,155
1,12,1,17,0,1,1,23,28,10,10,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11,0,Dropout,402
1,1,1,12,1,1,1,1,14,6,6,0,0,1,0,0,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,Graduate,260
2,4,1,11,1,3,1,1,3,5,4,0,0,1,0,0,39,0,0,6,10,0,0,0,0,6,6,0,0,0,Dropout,2
1,12,1,8,1,15,1,3,3,3,3,0,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,Dropout,156
1,8,1,12,1,1,1,23,28,8,11,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,Graduate,265
1,1,3,2,1,1,1,23,27,5,10,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Enrolled,7
1,1,2,12,1,1,1,13,14,10,10,0,0,1,0,0,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,Graduate,266
1,15,1,10,1,14,1,13,1,10,10,0,0,1,0,1,21,0,3,6,7,6,12,0,2,6,7,6,12,0,Graduate,205
1,8,3,2,1,1,1,1,27,5,8,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Enrolled,8
1,8,1,5,1,1,1,1,1,4,5,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,Enrolled,68
1,14,1,5,1,1,1,1,1,4,4,0,0,1,1,0,24,0,0,6,6,0,0,0,0,6,6,0,0,0,Enrolled,69
4,13,1,12,1,12,1,1,1,6,6,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,Dropout,267
1,1,3,2,1,1,1,13,14,6,4,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Graduate,7
1,15,1,4,1,14,1,13,27,10,10,0,0,1,1,0,23,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,Graduate,53
1,1,3,9,1,1,1,1,28,8,8,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,Dropout,171
1,12,1,11,1,1,1,13,27,8,11,0,0,1,1,0,26,0,0,6,7,6,12,0,0,6,8,5,10.8,0,Enrolled,234
1,8,1,9,1,1,1,23,27,6,6,0,0,1,1,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,Enrolled,172
1,8,1,12,1,1,1,22,14,9,5,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,Graduate,265
1,1,1,2,1,1,1,13,14,6,11,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Dropout,9
1,8,4,11,1,1,1,23,27,6,8,0,0,1,1,0,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12,0,Dropout,236
1,1,2,15,1,1,1,23,28,10,10,0,0,1,1,0,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,Graduate,348
1,8,3,9,1,1,1,13,14,5,8,0,1,1,1,0,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,Dropout,173
1,9,4,11,1,1,1,13,27,8,8,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,Dropout,232
1,8,4,15,1,1,1,1,14,10,9,0,1,1,1,1,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,Graduate,349
1,8,4,12,1,1,1,23,27,10,10,0,0,1,1,1,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,Graduate,268
2,12,1,3,0,1,1,22,27,10,7,0,0,1,1,0,33,0,0,6,8,6,12,0,0,6,6,6,11.66666667,0,Graduate,32
1,1,6,16,1,1,1,13,14,10,10,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,Dropout,374
1,12,1,17,0,2,1,3,3,3,3,0,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,Dropout,402
1,12,1,4,1,4,1,3,3,5,3,0,1,1,1,0,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,Dropout,54
1,8,1,11,1,1,1,13,14,5,5,0,0,1,1,0,18,0,0,5,6,5,12,0,0,5,8,3,11.33333333,0,Enrolled,237
2,12,1,3,0,1,1,22,27,10,7,0,0,1,0,0,33,0,0,6,7,6,11,0,0,6,11,5,11,0,Graduate,32
1,13,1,12,1,1,1,22,28,10,8,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,Graduate,267
1,12,1,14,1,1,1,1,14,5,6,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,Graduate,319
1,8,1,5,1,1,1,13,28,5,1,0,0,1,1,0,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,Graduate,68
1,1,6,9,1,1,1,23,27,10,10,0,0,1,1,0,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,Enrolled,174
1,14,2,7,1,1,1,23,14,10,7,0,1,1,1,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,Enrolled,127
1,12,1,12,1,1,1,1,1,5,11,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,Dropout,269
1,8,2,15,1,1,14,13,1,10,10,0,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,Graduate,344
1,6,1,8,1,1,14,1,1,5,5,0,0,1,0,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,Dropout,157
2,12,1,16,1,8,1,22,24,1,1,0,0,1,0,0,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0,1,Dropout,375
2,12,1,3,0,1,1,22,14,10,10,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,Graduate,32
1,6,1,7,1,1,12,23,3,10,3,0,0,1,1,0,19,1,0,5,9,5,14,0,0,5,11,3,13.25,0,Enrolled,128
1,1,5,15,1,1,1,22,1,6,6,0,0,1,0,0,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,Graduate,346
1,1,5,12,1,1,1,22,27,8,8,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,Graduate,270
1,1,1,6,1,1,1,1,2,10,2,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,Enrolled,93
1,1,4,12,1,1,1,3,3,3,3,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0,0,Dropout,262
1,17,1,6,1,16,1,23,28,10,10,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,Dropout,94
1,1,4,2,1,1,1,1,1,10,11,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Graduate,10
2,12,1,3,0,1,1,22,27,7,6,0,0,1,0,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,Dropout,32
4,12,1,4,1,9,1,22,27,10,7,0,0,1,0,0,43,0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,Graduate,54
1,9,1,16,1,1,1,13,14,10,8,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,Dropout,376
1,16,1,5,1,1,1,3,1,3,9,0,1,1,0,0,20,0,4,10,12,10,13,0,5,11,11,11,12.27272727,0,Graduate,67
1,1,2,10,1,1,1,22,28,5,8,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,Dropout,206
1,1,1,6,1,1,1,1,1,5,5,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,Dropout,93
1,1,5,12,1,1,1,3,4,5,4,0,0,1,0,0,20,0,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,Dropout,270
1,8,2,16,1,1,1,13,1,10,4,0,0,1,0,0,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13,0,Enrolled,377
1,1,1,10,1,1,1,22,27,7,8,0,0,1,0,0,18,0,0,6,8,6,13.85714286,0,0,6,6,6,15,0,Graduate,202
1,8,2,9,1,1,1,1,28,5,8,0,0,1,0,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,Enrolled,175
1,1,1,6,1,1,1,13,14,10,10,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,Graduate,93
1,1,3,15,1,1,1,1,28,5,8,0,0,1,0,0,18,0,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,Graduate,350
1,8,2,12,1,1,1,22,27,10,10,0,0,1,0,0,18,0,0,7,7,6,12.51666667,1,0,7,7,6,12.51666667,1,Dropout,261
1,14,1,12,1,1,1,23,28,10,6,0,0,1,0,0,20,0,0,7,11,6,11.61666667,0,0,7,7,7,13,0,Enrolled,271
1,8,1,10,1,1,1,13,27,10,8,0,0,1,0,1,20,0,0,6,13,2,10,0,0,6,12,4,10.75,0,Enrolled,207
1,8,1,9,1,1,1,13,14,4,4,0,0,1,0,0,20,0,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,Enrolled,172
1,1,2,6,1,1,1,22,28,10,8,0,0,1,0,0,18,0,0,5,12,5,13.14285714,2,0,5,6,5,11.4,0,Graduate,95
1,1,1,9,1,1,1,2,14,5,6,0,0,1,0,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14,0,Graduate,168
1,8,1,11,1,1,1,1,1,5,6,0,0,1,0,0,21,0,0,6,12,3,11,0,0,6,12,2,11,0,Dropout,237
1,1,2,9,1,1,1,13,14,10,8,0,0,1,0,0,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,Graduate,170
1,1,1,2,1,1,1,3,14,3,10,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Dropout,9
1,1,1,14,1,1,1,23,28,10,10,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,Graduate,317
1,1,1,6,1,1,1,13,28,5,8,0,0,1,0,0,19,0,0,6,15,6,14.16666667,0,0,6,13,6,12.2,0,Graduate,93
1,8,6,13,1,1,1,1,1,5,6,0,0,1,0,0,19,0,0,7,12,5,12.1,0,0,7,0,0,0,0,Dropout,295
1,15,1,6,1,14,1,22,27,10,10,0,0,1,0,0,20,0,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,Graduate,96
1,1,1,16,1,1,1,13,28,10,4,0,0,1,0,1,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,Enrolled,373
1,8,3,10,1,1,1,1,29,6,4,0,0,1,0,0,18,0,0,6,7,6,13,0,0,6,6,6,13.66666667,0,Graduate,208
1,8,6,12,1,1,1,1,27,9,10,0,0,1,0,0,19,0,0,7,7,7,13.46714286,0,0,8,9,8,15.01111111,0,Graduate,264
1,1,3,12,1,1,1,13,14,6,9,0,0,1,0,1,18,0,0,7,9,7,13.2375,0,0,8,9,7,13.74285714,0,Dropout,272
1,8,2,5,1,1,1,22,27,10,10,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,6,6,13,0,Graduate,70
1,1,4,9,1,1,1,1,14,5,9,0,0,1,0,0,19,0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,Graduate,176
1,8,6,12,1,1,1,1,14,4,4,0,0,1,0,0,19,0,0,7,8,5,14,0,0,7,7,0,0,0,Dropout,264
1,14,1,10,1,1,1,23,27,10,8,0,0,1,0,0,20,0,5,9,15,9,11.66666667,0,2,7,8,7,11.71428571,0,Graduate,209
1,1,1,14,1,1,1,1,28,4,10,0,1,0,0,1,19,0,0,6,7,5,12,0,0,6,9,4,12.5,0,Dropout,317
1,8,1,14,1,1,1,13,14,6,6,0,0,1,0,0,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,Graduate,320
1,1,1,15,1,1,1,1,1,20,39,0,1,1,0,1,18,0,0,6,6,6,14.83333333,0,0,6,6,6,14.83333333,0,Graduate,345
1,1,2,12,1,1,1,13,1,5,8,0,0,1,0,1,20,0,0,7,9,5,13.188,0,0,8,9,7,12.89285714,0,Enrolled,266
1,9,1,12,1,1,1,13,1,5,9,0,0,1,0,0,18,0,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,Graduate,273
1,1,5,12,1,1,1,22,27,10,10,0,0,1,0,0,19,0,0,7,7,6,12.66666667,0,0,7,7,6,12.66666667,0,Graduate,270
1,1,6,15,1,1,1,13,1,5,5,0,0,1,0,1,19,0,0,6,8,6,12.66666667,0,0,6,10,5,12,0,Graduate,351
1,16,1,9,1,1,1,3,1,4,4,0,1,0,0,0,22,0,0,5,8,0,0,0,0,5,7,0,0,0,Enrolled,177
1,1,3,10,1,1,1,1,10,10,11,0,0,1,0,1,19,0,0,6,7,6,11.33333333,0,0,6,6,6,11.5,0,Graduate,201
1,1,3,12,1,1,1,13,14,10,8,0,0,1,0,1,19,0,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,Graduate,272
1,8,5,16,1,1,1,22,28,6,7,0,0,1,0,1,19,0,0,6,10,5,12,0,0,6,9,5,10.8,0,Graduate,378
1,1,4,11,1,1,1,10,14,10,10,0,0,1,0,0,19,0,0,5,10,0,0,0,0,5,10,0,0,0,Dropout,238
1,8,1,11,1,1,1,1,27,10,11,0,0,1,0,0,20,0,0,6,8,5,11.2,0,0,6,12,3,11.66666667,0,Dropout,237
1,1,1,9,1,1,1,3,14,3,11,0,0,1,0,0,18,0,0,5,10,5,13.375,0,0,5,9,5,14.16666667,0,Graduate,168
1,1,1,12,1,1,1,1,14,10,10,0,0,1,0,1,20,0,0,7,8,6,13.86333333,0,0,8,9,7,14.17857143,0,Graduate,260
1,1,1,2,1,1,1,3,27,3,9,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Enrolled,9
1,1,1,6,1,1,1,1,28,5,8,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,Graduate,93
1,8,1,16,1,1,1,23,28,8,7,0,0,1,0,0,18,0,0,6,11,3,12.33333333,0,0,6,10,5,10.83333333,0,Enrolled,379
1,1,1,16,1,1,1,22,27,10,10,0,0,1,0,0,18,0,0,6,7,6,13.33333333,0,0,6,8,5,11.8,0,Graduate,373
1,14,1,16,1,1,1,3,27,3,6,0,0,1,0,0,21,0,0,6,10,3,12.66666667,0,0,6,12,3,10,0,Dropout,380
1,1,1,16,1,1,1,23,27,7,7,0,0,1,0,0,19,0,0,6,8,6,12,0,0,6,10,4,11.5,0,Dropout,373
1,1,1,9,1,1,1,23,28,10,10,0,0,1,0,1,18,0,0,5,5,5,10.6,0,0,5,5,5,11.8,0,Graduate,168
1,8,2,10,1,1,1,1,27,8,10,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.85714286,0,Graduate,204
1,1,3,10,1,1,1,13,1,10,11,0,0,1,0,0,20,0,0,6,10,4,11,0,0,6,9,6,11.83333333,0,Graduate,201
1,12,1,3,0,1,1,1,14,7,9,0,0,1,0,1,24,0,0,6,11,5,11,0,0,6,9,5,12.6,0,Graduate,32
1,1,1,14,1,1,1,13,1,5,2,0,0,1,0,0,19,0,0,6,6,6,13.16666667,0,0,6,9,6,13,0,Dropout,317
1,1,1,12,1,1,1,13,27,10,8,0,0,1,0,1,18,0,0,7,9,7,12.85555556,0,0,8,12,7,12.76111111,0,Graduate,260
1,1,2,12,1,1,1,13,14,10,10,0,0,1,0,0,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,Graduate,266
1,8,5,16,1,1,1,10,10,5,5,0,0,1,0,0,21,0,0,6,13,4,11.5,0,0,6,10,3,11,0,Dropout,378
1,8,2,14,1,1,1,1,14,6,5,0,0,1,0,0,19,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,Graduate,321
1,8,1,15,1,1,1,13,27,8,8,0,0,1,0,1,19,0,0,6,6,6,12.5,0,0,6,7,6,13,0,Graduate,347
3,12,1,4,1,1,1,1,27,7,7,0,1,1,0,0,47,0,0,1,1,0,0,0,0,6,0,0,0,0,Enrolled,54
1,8,3,10,1,1,1,13,14,8,9,0,0,1,0,0,19,0,0,6,10,5,11.66666667,0,0,6,12,4,11,0,Graduate,208
1,12,1,12,1,3,1,2,2,2,2,0,0,1,0,0,29,0,1,8,8,7,14.25714286,0,1,8,8,7,14.25714286,0,Graduate,269
1,14,1,10,1,1,1,13,14,5,9,0,0,1,0,0,21,0,0,6,13,3,12,0,0,6,12,2,11.33333333,0,Dropout,209
1,12,1,6,1,1,1,22,14,10,8,0,0,1,0,0,28,0,0,5,13,4,11.25,1,0,5,11,4,10.5,0,Enrolled,97
1,8,2,13,1,1,1,22,27,4,11,0,0,1,0,0,20,0,0,7,8,7,12.45714286,0,0,8,8,8,13.5625,0,Graduate,296
1,8,1,12,1,1,1,2,28,5,6,0,0,1,0,0,19,0,0,7,7,6,11.68333333,0,0,7,7,6,11.68333333,0,Graduate,265
1,13,1,3,0,1,1,13,2,5,7,0,0,1,0,0,26,0,0,6,10,3,11.66666667,0,0,6,8,5,12,0,Graduate,35
1,8,2,11,1,1,1,22,27,10,9,0,1,0,0,0,20,0,0,6,8,4,11.75,0,0,6,6,6,13.16666667,0,Dropout,239
1,1,1,14,1,1,1,22,27,10,10,0,0,1,0,1,18,0,0,5,6,3,11.66666667,0,0,5,6,4,13.5,0,Enrolled,317
1,12,1,16,1,1,1,22,14,10,6,0,0,1,0,0,27,0,0,6,9,5,13.2,0,0,6,10,5,12,0,Graduate,375
1,1,2,12,1,1,1,19,24,12,12,0,0,1,0,0,20,0,0,7,8,4,11.95,0,0,7,8,4,11.95,0,Dropout,266
1,1,5,16,1,1,1,22,14,10,6,0,0,1,0,0,18,0,0,6,8,5,12.4,0,0,6,12,5,10.4,0,Dropout,381
1,4,1,12,1,3,1,1,1,10,6,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.58333333,0,Dropout,274
1,14,1,16,1,1,1,3,1,4,4,0,0,1,0,0,35,0,19,21,21,21,12.61904762,0,13,19,19,19,12.78947368,0,Graduate,380
1,15,1,17,0,14,1,22,14,10,9,0,0,1,0,1,26,0,2,6,7,6,12.66666667,0,2,6,7,6,13.16666667,1,Enrolled,405
1,12,1,15,1,12,1,13,14,4,5,0,1,0,0,0,27,0,0,6,6,5,12,0,0,6,6,0,0,0,Dropout,352
1,9,3,5,1,1,1,1,27,6,6,0,0,0,0,0,19,0,0,6,6,6,12.16666667,0,0,6,6,0,0,0,Dropout,71
1,8,2,11,1,1,1,1,14,5,7,0,0,1,0,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,Dropout,239
1,9,2,9,1,1,1,3,3,6,8,0,1,0,0,0,20,0,0,5,9,3,10,0,0,5,9,3,10.57142857,0,Dropout,178
1,14,1,10,1,1,1,1,27,6,10,0,1,0,0,0,21,0,5,10,18,8,11.5,0,0,6,12,4,10,0,Enrolled,209
