Student_ID,course_id,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Debtor,Tuition fees up to date,Scholarship holder,Target
67,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Graduate
68,53,23,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,0,1,0,Graduate
69,171,19,0,5,8,5,11.2,0,0,5,10,4,10.75,3,1,1,0,Dropout
70,234,26,0,6,7,6,12,0,0,6,8,5,10.8,0,0,1,0,Enrolled
71,172,18,0,5,9,0,0,0,0,5,5,0,0,0,0,1,0,Enrolled
72,265,24,0,7,8,7,11.975,0,0,8,8,8,13.75,0,0,1,0,Graduate
73,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dropout
74,236,18,0,6,12,3,11.66666667,0,0,6,12,1,12,0,0,1,0,Dropout
75,348,18,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,0,1,0,Graduate
76,173,18,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,1,1,0,Dropout
77,232,21,0,6,8,4,10.5,0,0,6,11,1,11,0,0,1,1,Dropout
78,349,19,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,1,1,1,Graduate
79,268,22,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,0,1,1,Graduate
80,32,33,0,6,8,6,12,0,0,6,6,6,11.66666667,0,0,1,0,Graduate
81,374,20,0,6,8,5,12.2,0,0,6,7,5,12.2,0,0,1,0,Dropout
82,402,35,0,1,1,0,0,1,0,5,0,0,0,0,0,1,0,Dropout
83,54,24,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,1,1,0,Dropout
84,237,18,0,5,6,5,12,0,0,5,8,3,11.33333333,0,0,1,0,Enrolled
85,32,33,0,6,7,6,11,0,0,6,11,5,11,0,0,1,0,Graduate
86,267,22,0,8,8,7,13.08,0,0,8,8,7,13.08,0,0,1,1,Graduate
87,319,25,0,5,7,4,10.5,0,0,5,7,5,11.6,0,0,1,1,Graduate
88,68,20,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,0,1,0,Graduate
89,174,23,0,5,6,4,14,0,0,5,5,5,13.8,0,0,1,0,Enrolled
90,127,18,0,5,9,2,10,0,0,5,9,0,0,0,1,1,0,Enrolled
91,269,24,0,7,18,0,0,0,0,7,7,0,0,0,0,1,0,Dropout
92,344,21,0,6,6,6,14,0,0,6,6,6,13.5,0,0,0,0,Graduate
93,157,26,0,6,7,2,12,1,0,6,6,0,0,0,0,1,0,Dropout
94,375,39,0,6,12,3,12.66666667,0,0,6,14,0,0,1,0,1,0,Dropout
95,32,44,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,0,1,0,Graduate
96,128,19,0,5,9,5,14,0,0,5,11,3,13.25,0,0,1,0,Enrolled
97,346,18,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,0,1,0,Graduate
98,270,18,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,0,1,1,Graduate
99,93,19,0,5,7,5,14.2,2,0,5,7,5,13.8,0,0,1,0,Enrolled
100,262,19,0,7,10,4,11.96,0,0,7,7,0,0,0,1,0,0,Dropout
101,94,21,7,10,12,8,12.875,0,4,9,14,5,13.4,0,0,1,0,Dropout
102,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Graduate
103,32,36,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
104,54,43,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,0,1,0,Graduate
105,376,19,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
106,67,20,4,10,12,10,13,0,5,11,11,11,12.27272727,0,1,1,0,Graduate
107,206,19,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
108,93,20,0,6,15,4,14.2,0,0,6,17,4,13.25,0,0,1,0,Dropout
109,270,20,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,0,1,0,Dropout
110,377,20,0,7,12,6,11.66666667,0,0,7,10,3,13,0,0,1,0,Enrolled
111,202,18,0,6,8,6,13.85714286,0,0,6,6,6,15,0,0,1,0,Graduate
112,175,18,0,5,9,3,13,0,0,5,11,3,11,0,0,1,1,Enrolled
113,93,19,0,5,6,5,13.4,0,0,5,5,5,12.8,0,0,1,0,Graduate
114,350,18,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,0,1,0,Graduate
115,261,18,0,7,7,6,12.51666667,1,0,7,7,6,12.51666667,1,0,1,0,Dropout
116,271,20,0,7,11,6,11.61666667,0,0,7,7,7,13,0,0,1,0,Enrolled
117,207,20,0,6,13,2,10,0,0,6,12,4,10.75,0,0,1,1,Enrolled
118,172,20,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,0,1,0,Enrolled
119,95,18,0,5,12,5,13.14285714,2,0,5,6,5,11.4,0,0,1,0,Graduate
120,168,18,0,5,5,5,12.6,0,0,5,5,5,14,0,0,1,0,Graduate
121,237,21,0,6,12,3,11,0,0,6,12,2,11,0,0,1,0,Dropout
122,170,19,0,5,8,5,10.8,0,0,5,9,4,11.25,2,0,1,0,Graduate
123,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dropout
124,317,19,0,5,5,5,12.8,0,0,5,5,5,14.2,0,0,1,1,Graduate
125,93,19,0,6,15,6,14.16666667,0,0,6,13,6,12.2,0,0,1,0,Graduate
126,295,19,0,7,12,5,12.1,0,0,7,0,0,0,0,0,1,0,Dropout
127,96,20,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,0,1,0,Graduate
128,373,18,0,6,8,5,12.8,0,0,6,7,5,13.4,0,0,1,1,Enrolled
129,208,18,0,6,7,6,13,0,0,6,6,6,13.66666667,0,0,1,0,Graduate
130,264,19,0,7,7,7,13.46714286,0,0,8,9,8,15.01111111,0,0,1,0,Graduate
131,272,18,0,7,9,7,13.2375,0,0,8,9,7,13.74285714,0,0,1,1,Dropout
132,70,18,0,6,6,6,12.33333333,0,0,6,6,6,13,0,0,1,0,Graduate
133,176,19,0,5,7,5,12.4,0,0,5,5,5,14.6,0,0,1,0,Graduate
134,264,19,0,7,8,5,14,0,0,7,7,0,0,0,0,1,0,Dropout
135,209,20,5,9,15,9,11.66666667,0,2,7,8,7,11.71428571,0,0,1,0,Graduate
136,317,19,0,6,7,5,12,0,0,6,9,4,12.5,0,1,0,1,Dropout
137,320,20,0,5,7,4,12.2,0,0,5,5,4,11.5,0,0,1,0,Graduate
138,345,18,0,6,6,6,14.83333333,0,0,6,6,6,14.83333333,0,1,1,1,Graduate
139,266,20,0,7,9,5,13.188,0,0,8,9,7,12.89285714,0,0,1,1,Enrolled
140,273,18,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,0,1,0,Graduate
141,270,19,0,7,7,6,12.66666667,0,0,7,7,6,12.66666667,0,0,1,0,Graduate
142,351,19,0,6,8,6,12.66666667,0,0,6,10,5,12,0,0,1,1,Graduate
143,177,22,0,5,8,0,0,0,0,5,7,0,0,0,1,0,0,Enrolled
144,201,19,0,6,7,6,11.33333333,0,0,6,6,6,11.5,0,0,1,1,Graduate
145,272,19,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,0,1,1,Graduate
146,378,19,0,6,10,5,12,0,0,6,9,5,10.8,0,0,1,1,Graduate
147,238,19,0,5,10,0,0,0,0,5,10,0,0,0,0,1,0,Dropout
148,237,20,0,6,8,5,11.2,0,0,6,12,3,11.66666667,0,0,1,0,Dropout
149,168,18,0,5,10,5,13.375,0,0,5,9,5,14.16666667,0,0,1,0,Graduate
150,260,20,0,7,8,6,13.86333333,0,0,8,9,7,14.17857143,0,0,1,1,Graduate
151,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Enrolled
152,93,19,0,5,6,5,12.4,0,0,5,6,5,13.4,0,0,1,0,Graduate
153,379,18,0,6,11,3,12.33333333,0,0,6,10,5,10.83333333,0,0,1,0,Enrolled
154,373,18,0,6,7,6,13.33333333,0,0,6,8,5,11.8,0,0,1,0,Graduate
155,380,21,0,6,10,3,12.66666667,0,0,6,12,3,10,0,0,1,0,Dropout
156,373,19,0,6,8,6,12,0,0,6,10,4,11.5,0,0,1,0,Dropout
157,168,18,0,5,5,5,10.6,0,0,5,5,5,11.8,0,0,1,1,Graduate
158,204,18,0,6,8,6,12.25,0,0,6,7,6,11.85714286,0,0,1,1,Graduate
159,201,20,0,6,10,4,11,0,0,6,9,6,11.83333333,0,0,1,0,Graduate
160,32,24,0,6,11,5,11,0,0,6,9,5,12.6,0,0,1,1,Graduate
161,317,19,0,6,6,6,13.16666667,0,0,6,9,6,13,0,0,1,0,Dropout
162,260,18,0,7,9,7,12.85555556,0,0,8,12,7,12.76111111,0,0,1,1,Graduate
163,266,18,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,0,1,0,Graduate
164,378,21,0,6,13,4,11.5,0,0,6,10,3,11,0,0,1,0,Dropout
165,321,19,0,5,5,5,14.2,0,0,5,5,5,14.2,0,0,1,0,Graduate
166,347,19,0,6,6,6,12.5,0,0,6,7,6,13,0,0,1,1,Graduate
167,54,47,0,1,1,0,0,0,0,6,0,0,0,0,1,1,0,Enrolled
168,208,19,0,6,10,5,11.66666667,0,0,6,12,4,11,0,0,1,0,Graduate
169,269,29,1,8,8,7,14.25714286,0,1,8,8,7,14.25714286,0,0,1,0,Graduate
170,209,21,0,6,13,3,12,0,0,6,12,2,11.33333333,0,0,1,0,Dropout
171,97,28,0,5,13,4,11.25,1,0,5,11,4,10.5,0,0,1,0,Enrolled
172,296,20,0,7,8,7,12.45714286,0,0,8,8,8,13.5625,0,0,1,0,Graduate
173,265,19,0,7,7,6,11.68333333,0,0,7,7,6,11.68333333,0,0,1,0,Graduate
174,35,26,0,6,10,3,11.66666667,0,0,6,8,5,12,0,0,1,0,Graduate
175,239,20,0,6,8,4,11.75,0,0,6,6,6,13.16666667,0,1,0,0,Dropout
176,317,18,0,5,6,3,11.66666667,0,0,5,6,4,13.5,0,0,1,1,Enrolled
177,375,27,0,6,9,5,13.2,0,0,6,10,5,12,0,0,1,0,Graduate
178,266,20,0,7,8,4,11.95,0,0,7,8,4,11.95,0,0,1,0,Dropout
179,381,18,0,6,8,5,12.4,0,0,6,12,5,10.4,0,0,1,0,Dropout
180,274,33,2,7,8,6,14.35,0,3,8,10,6,14.58333333,0,0,1,0,Dropout
181,380,35,19,21,21,21,12.61904762,0,13,19,19,19,12.78947368,0,0,1,0,Graduate
182,405,26,2,6,7,6,12.66666667,0,2,6,7,6,13.16666667,1,0,1,1,Enrolled
183,352,27,0,6,6,5,12,0,0,6,6,0,0,0,1,0,0,Dropout
184,71,19,0,6,6,6,12.16666667,0,0,6,6,0,0,0,0,0,0,Dropout
185,239,20,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
186,178,20,0,5,9,3,10,0,0,5,9,3,10.57142857,0,1,0,0,Dropout
187,209,21,5,10,18,8,11.5,0,0,6,12,4,10,0,1,0,0,Enrolled
188,275,18,0,7,7,6,13.05,0,0,7,7,6,13.05,0,0,1,1,Graduate
189,97,24,0,6,10,2,11,0,0,6,6,0,0,0,0,1,0,Dropout
190,72,20,0,6,7,6,11.5,0,0,6,6,6,12,0,0,1,0,Graduate
191,240,21,0,6,7,6,12,0,0,6,6,6,12.5,0,0,1,1,Graduate
192,36,23,0,6,13,2,10,0,0,5,12,1,10,0,0,1,0,Enrolled
193,179,24,0,5,5,0,0,0,0,5,5,0,0,0,0,1,0,Dropout
194,382,21,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
195,262,18,0,8,8,7,12.24285714,0,0,8,8,7,12.24285714,0,0,1,0,Graduate
196,402,27,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0,Dropout
197,276,18,0,8,8,8,12.93375,0,0,8,8,8,12.93375,0,0,1,0,Graduate
198,129,35,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0,Dropout
199,373,18,0,7,9,7,12.57142857,0,0,7,8,7,14.42857143,0,0,1,0,Graduate
200,269,35,0,3,4,3,11.81666667,0,0,3,3,3,11.33333333,0,0,1,0,Enrolled
201,93,19,0,5,9,4,13.75,0,0,5,13,4,14.33333333,2,0,1,0,Graduate
202,210,20,0,6,8,6,11.16666667,0,0,6,6,6,11.33333333,0,0,1,0,Graduate
203,262,18,0,8,8,7,12.32428571,0,0,8,8,7,12.32428571,0,0,1,0,Graduate
204,205,21,3,6,6,6,12.16666667,0,2,6,7,6,11.71428571,0,1,1,0,Graduate
205,204,18,0,6,11,5,11.14285714,0,0,6,11,4,11.25,0,0,1,1,Graduate
206,202,18,0,6,9,4,11,0,0,6,9,4,10.75,0,0,1,0,Graduate
207,266,18,0,8,8,7,12.91428571,0,0,8,8,7,12.91428571,0,0,1,0,Graduate
208,353,18,0,6,6,6,13.83333333,0,0,6,6,6,14.16666667,0,0,1,1,Graduate
209,93,19,0,6,8,6,13.85714286,0,0,6,9,5,13.4,0,0,1,0,Graduate
210,234,36,0,6,7,6,13.71428571,0,0,6,6,5,12.8,0,0,1,1,Dropout
211,266,18,0,8,8,7,12.64285714,0,0,8,8,7,12.64285714,0,0,1,1,Graduate
212,260,18,0,7,7,6,12.91666667,0,0,7,7,6,12.91666667,0,0,1,1,Graduate
213,158,20,0,6,8,6,15.625,0,0,6,8,6,15.85714286,0,0,1,1,Graduate
214,402,26,0,5,7,0,0,0,0,5,8,0,0,0,0,1,1,Dropout
215,354,21,0,6,8,6,11.71428571,0,0,6,7,6,12,0,0,1,0,Graduate
216,297,25,0,7,10,6,12.125,0,0,8,9,8,13.3125,0,0,1,0,Enrolled
217,180,19,0,5,7,5,11.6,0,0,5,5,5,11.6,0,0,1,1,Graduate
218,32,24,0,6,11,1,10,0,0,6,6,0,0,6,0,1,0,Dropout
219,32,27,0,6,16,1,10,0,0,6,13,0,0,0,0,1,1,Dropout
220,98,21,0,5,10,0,0,1,0,5,9,2,13.5,0,0,1,0,Dropout
221,168,18,0,5,7,4,13,0,0,5,8,3,12.33333333,0,0,1,1,Graduate
222,383,19,0,6,6,6,13.33333333,0,0,6,6,6,14.5,0,0,1,1,Graduate
223,241,18,0,6,9,4,11.25,0,0,6,13,2,12.5,0,0,1,0,Dropout
224,277,19,0,7,9,5,13.85,0,0,8,9,7,12.19285714,0,0,1,1,Graduate
225,273,19,0,7,8,6,13.74166667,0,0,8,9,7,14.9125,0,0,1,1,Graduate
226,406,33,2,6,7,6,15.33333333,0,0,5,5,5,15.8,0,0,1,0,Graduate
227,181,45,0,5,6,5,11,0,0,5,5,5,13.8,0,0,1,0,Graduate
228,202,20,0,6,6,6,12,0,0,6,7,6,12.85714286,0,0,1,1,Graduate
229,322,28,0,5,5,0,0,0,0,5,5,0,0,0,0,1,0,Dropout
230,271,19,0,8,15,7,11.57142857,0,0,8,15,7,11.57142857,0,0,1,1,Graduate
231,242,18,0,6,10,6,12.85714286,0,0,6,6,3,12.66666667,0,0,1,0,Graduate
232,234,38,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
233,323,19,0,5,5,5,13,0,0,5,5,5,13.2,0,0,1,0,Graduate
234,240,21,0,6,9,5,11,0,0,6,8,5,12,0,0,1,1,Graduate
235,168,21,0,5,12,3,12,0,0,5,12,1,15,3,0,1,0,Dropout
236,202,22,0,6,6,5,12.6,0,0,6,6,6,13,0,0,1,1,Graduate
237,373,18,0,6,8,5,13.4,0,0,6,7,6,13.16666667,0,0,1,1,Graduate
238,204,18,0,6,9,6,11.33333333,0,0,6,9,6,11.57142857,0,0,1,1,Graduate
239,153,25,0,5,14,4,13.5,2,0,5,10,4,14.25,0,0,0,0,Dropout
240,97,24,2,6,11,3,11.75,0,1,6,14,3,10.33333333,0,1,0,0,Dropout
241,272,19,0,7,10,6,12.47142857,0,0,7,8,7,11.4625,0,0,1,0,Enrolled
242,11,24,11,17,19,11,12.90909091,0,9,13,15,9,13.55555556,0,0,1,0,Enrolled
243,170,20,0,5,5,5,11.6,0,0,5,5,5,13.6,0,0,1,1,Graduate
244,179,25,0,5,5,0,0,0,0,5,9,0,0,0,0,0,0,Dropout
245,168,20,5,10,13,9,12.9,0,4,10,12,10,12.36363636,0,0,1,1,Graduate
246,274,23,0,8,8,8,13.22,0,0,8,8,8,13.22,0,0,1,0,Graduate
247,275,19,0,8,8,7,13.15142857,0,0,8,8,7,13.15142857,0,0,1,1,Graduate
248,53,29,0,6,13,3,12.75,0,0,6,8,3,11.33333333,0,1,0,0,Dropout
249,241,21,0,6,8,6,11.33333333,0,0,6,8,4,12.25,0,0,1,0,Graduate
250,317,18,0,6,10,6,13.25,0,0,6,13,5,14.14285714,0,0,1,1,Graduate
251,73,19,0,6,7,5,12.4,0,0,6,6,5,12.4,0,0,1,0,Enrolled
252,350,18,0,6,6,6,15,0,0,6,6,6,12.83333333,0,0,1,1,Dropout
253,93,19,0,5,6,5,14.4,0,0,5,6,5,13,0,0,1,0,Graduate
254,345,18,0,6,12,1,11,0,0,6,12,0,0,0,0,1,0,Enrolled
255,172,18,0,5,8,5,12.4,0,0,5,6,5,10.8,0,0,1,0,Graduate
256,297,37,0,7,13,1,16,0,0,7,12,0,0,0,1,0,1,Dropout
257,404,29,0,5,10,5,13.57142857,0,0,5,14,5,12.33333333,3,0,1,0,Graduate
258,74,18,0,6,6,6,11.83333333,0,0,6,6,6,12.5,0,0,1,0,Enrolled
259,202,19,0,6,8,5,11.66666667,0,0,6,9,5,12.66666667,0,0,1,1,Graduate
260,209,22,6,10,16,6,11.83333333,0,2,7,8,2,13,0,1,0,0,Dropout
261,240,20,0,6,8,6,11.16666667,0,0,6,10,5,10.6,0,0,1,1,Graduate
262,32,34,0,6,0,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
263,130,30,8,12,17,8,11.75,0,6,12,19,6,12.16666667,2,1,0,0,Dropout
264,202,18,0,6,7,6,14,0,0,6,7,6,14,0,0,1,0,Graduate
265,202,18,0,6,6,6,12.83333333,0,0,6,6,6,12,0,0,1,0,Graduate
266,348,18,0,6,11,4,12.25,0,0,6,10,3,11.66666667,0,0,1,0,Graduate
267,268,18,0,8,8,7,14.82857143,0,0,8,8,7,14.82857143,0,0,1,0,Graduate
268,348,19,0,6,7,5,11.4,0,0,6,8,5,12.8,0,0,1,1,Graduate
269,75,19,0,6,6,6,13,0,0,6,8,6,12.5,0,0,1,1,Graduate
270,270,18,0,8,8,7,13.67142857,0,0,8,8,7,13.67142857,0,0,1,1,Graduate
271,53,21,0,6,9,6,12.66666667,0,0,6,8,5,12.8,0,0,1,1,Graduate
272,170,20,0,5,10,2,10,0,0,5,12,1,13,0,0,0,0,Dropout
273,172,20,0,5,10,5,13.5,0,0,5,8,5,12.33333333,0,0,1,0,Graduate
274,260,19,2,7,8,7,12.67,0,1,8,8,8,13.55,0,0,1,0,Graduate
275,202,20,0,6,8,6,14.5,0,0,6,7,6,15.42857143,0,0,1,0,Graduate
276,275,18,0,7,7,7,13.68571429,0,0,8,8,8,15.3875,0,0,1,0,Graduate
277,384,20,0,6,8,5,11,0,0,6,10,3,10.66666667,0,0,1,0,Dropout
278,159,29,7,9,16,7,11.55555556,4,5,7,12,5,13.2,2,1,0,0,Dropout
279,260,18,0,7,7,7,13.79714286,0,0,8,8,8,13.775,0,0,1,1,Enrolled
280,260,20,0,7,8,7,14.00375,0,0,8,11,7,13.81285714,0,0,1,1,Graduate
281,182,22,0,5,8,4,12,0,0,5,8,4,11.4,2,0,1,1,Graduate
282,36,47,0,6,9,5,14.16666667,0,0,6,7,6,14.16666667,0,0,1,1,Graduate
283,407,31,1,5,5,5,14,0,0,5,5,5,13.8,0,0,1,0,Graduate
284,75,21,0,6,7,5,13.8,0,0,6,6,6,12.83333333,0,0,1,1,Graduate
285,36,21,0,6,8,5,12.8,0,0,6,10,6,11.85714286,0,0,1,0,Graduate
286,352,24,0,6,6,6,12.16666667,0,0,6,6,6,13.83333333,0,0,1,0,Graduate
287,68,18,0,6,8,6,12.5,0,0,6,6,6,12.33333333,0,0,1,0,Enrolled
288,32,32,0,6,9,4,12,0,0,6,12,4,11.5,0,0,1,0,Graduate
289,37,19,0,6,8,6,10.83333333,0,0,6,9,6,11.5,0,0,1,1,Graduate
290,269,24,0,8,8,8,13.385,0,0,8,8,8,13.385,0,0,1,0,Graduate
291,99,19,0,6,14,6,15.66666667,0,0,6,9,6,14.5,0,0,1,0,Graduate
292,53,19,0,6,9,6,14.33333333,0,0,6,7,6,13.83333333,0,1,1,1,Graduate
293,53,24,0,6,10,6,11.42857143,0,0,6,12,5,13,0,0,1,0,Enrolled
294,211,18,0,6,9,6,11.66666667,0,0,6,8,6,11.66666667,0,0,1,1,Graduate
295,75,19,0,6,9,5,12,0,0,6,10,2,11.33333333,0,0,1,1,Dropout
296,260,19,0,8,8,7,14.72571429,0,0,8,8,7,14.72571429,0,0,1,1,Graduate
297,344,18,0,6,6,6,14.16666667,0,0,6,6,6,13.66666667,0,0,1,1,Graduate
298,202,18,0,6,10,6,11.57142857,0,0,6,8,6,12.33333333,0,0,1,0,Graduate
